country	consumption 2000	electricity 2000	Mortality 2000	consumption 2001	electricity 2001	Mortality 2001	consumption 2002	electricity 2002	Mortality 2002	consumption 2003	electricity 2003	Mortality 2003	consumption 2004	electricity 2004	Mortality 2004	consumption 2005	electricity 2005	Mortality 2005	consumption 2006	electricity 2006	Mortality 2006	consumption 2007	electricity 2007	Mortality 2007	consumption 2008	electricity 2008	Mortality 2008	consumption 2009	electricity 2009	Mortality 2009	consumption 2010	electricity 2010	Mortality 2010																							
Bulgaria	0.86773	3673.606871	19.62	0.90406	3853.729831	20.136	0.8746	3838.485459	18.96	0.88654	3973.256666	17.604	0.87492	3939.000877	17.544	0.91869	4121.629478	15.228	0.94058	4311.327935	14.412	0.84127	4455.750856	13.584	0.81712	4594.278533	12.888	0.72108	4400.583194	13.488	0.76948	4476.467521	13.776																							
Cambodia	0.03411	31.97570746	101.5	0.0398	35.79985086	94.5	0.04281	49.51257362	87.3	0.04672	50.82857097	80.8	0.05206	55.17675852	74.5	0.05528	66.32940982	68.7	0.06078	80.49787938	63.3	0.06562	100.659429	58	0.06871	115.1009894	53.7	0.06622	128.9893055	49.7	0.06118	146.0576288	46																							
Cameroon	0.08132	173.4247575	139.5	0.08165	164.0301209	138.9	0.07808	154.5579512	138.3	0.08387	167.3085125	137.5	0.08674	193.4138281	136.5	0.08577	188.3375531	135.6	0.09881	249.4373452	134.5	0.09902	259.018763	133.5	0.10565	274.1649803	132.2	0.10857	273.4285447	130.8	0.12487	271.3929346	128.9																							
Canada	13.30484	16990.57839	5.87	12.87242	16807.14499	6.04	13.09648	16959.60079	6.18	13.52567	17191.15419	6.15	14.11424	17235.41178	6.05	14.17242	17319.23125	6.18	13.8183	16761.0437	5.76	14.02585	16846.75063	5.88	13.54625	16449.24481	5.8	13.09711	15118.52021	5.7	13.00072	15137.58601	5.6																							
Chile	1.01272	2486.734605	10.8	1.04667	2613.847554	10.4	1.0647	2710.657906	10	1.11922	2877.794217	9.7	1.19658	3042.174819	9.5	1.27932	3073.048829	9.3	1.31642	3200.074906	9.2	1.0911	3318.773344	9.1	1.34684	3320.930675	9	1.29926	3283.018603	8.9	1.33341	3297.068405	8.8																							
China	40.93559	993.3370029	35	42.58023	1077.041318	32.7	47.29373	1195.441268	30.3	52.96116	1380.200248	28.1	59.47403	1586.770827	25.9	67.91528	1783.854662	23.9	74.28128	2041.951305	22	79.37118	2330.247328	20.4	84.94611	2457.536491	18.8	94.37119	2632.526401	17.3	100.88144	2943.526246	15.9																							
Colombia	1.17201	842.7436904	25	1.16349	862.3394484	24.3	1.16015	868.9537422	23.5	1.20249	871.2037507	22.8	1.21593	905.5174064	22.1	1.26835	900.9176879	21.4	1.31278	950.5558106	20.7	1.33293	975.3715966	20	1.34274	972.2972928	19.5	1.33538	1045.383844	18.9	1.36665	1012.359023	18.3																							
Congo, Dem. Rep.	0.01302	91.66528971	181.4	0.016	90.74430807	181.4	0.0154	85.25217565	181.4	0.01722	85.75139545	181.4	0.01848	83.93883334	181.4	0.02482	85.35275942	181.4	0.02843	97.44718994	179	0.03386	101.2305385	176.7	0.03906	97.86330034	174.4	0.04784	103.8559658	172.1	0.06727	95.1553756	169.9																							
Costa Rica	0.14104	1523.532984	12.9	0.14556	1497.397167	12.3	0.15333	1565.440022	11.7	0.15957	1645.019106	11.3	0.16397	1675.321471	10.9	0.16188	1711.602021	10.7	0.17481	1807.696345	10.5	0.18426	1865.199002	10.4	0.19038	1864.610524	10.3	0.18469	1817.116444	10.3	0.18718	1855.16412	10.1																							
Cote d'Ivoire	0.13277	172.6607112	138.6	0.10998	181.792738	136.7	0.10706	177.1760776	134.7	0.10877	175.8184999	132.6	0.11505	176.0110626	130.5	0.11335	175.018559	128.2	0.114	185.9655083	126.1	0.11957	192.3659206	123.8	0.13064	202.0328954	121.1	0.12995	209.6121215	118.8	0.12381	209.5978275	116.7																							
Croatia	0.3756	2840.488025	8.4	0.38411	2881.531532	8	0.37378	3081.981982	7.7	0.39311	3146.396396	7.4	0.40806	3314.485244	7.1	0.404	3475.911751	6.8	0.41504	3635.810811	6.4	0.3948	3737.601443	6.1	0.40653	3878.439332	5.9	0.38864	3711.673064	5.6	0.39557	3813.490267	5.3																							
Cuba	0.45968	1140.187601	8.5	0.46595	1160.395427	8.1	0.46699	1187.694366	7.7	0.46354	1195.660718	7.4	0.51958	1176.950183	7.1	0.45093	1155.830841	6.9	0.35559	1226.795196	6.7	0.37219	1300.151473	6.5	0.35797	1319.705811	6.3	0.41463	1329.973786	6.1	0.39997	1299.433939	5.9																							
Cyprus	0.10312	3373.285529	6.5	0.1125	3450.922638	6.2	0.11064	3692.31146	5.8	0.11157	3900.277919	5.5	0.11762	3925.94649	5.2	0.11984	4080.142403	4.9	0.12625	4226.956362	4.6	0.12657	4379.945194	4.2	0.13154	4572.883405	3.9	0.12457	4625.515717	3.6	0.12146	4675.407988	3.4																							
Czech Republic	1.40621	5694.233495		1.45203	5880.72612		1.45139	5889.648778		1.51756	6066.895639		1.51531	6218.862617		1.55617	6342.134706		1.58825	6509.312275		1.64613	6495.931938		1.61534	6464.392552		1.53063	6114.037542		1.59118	6321.037526																								
Denmark	0.87642	6482.488628	6.06	0.88917	6490.279603	5.86	0.8576	6533.752014	5.32	0.89932	6602.450871	5.26	0.86591	6615.569959	5.3	0.84618	6659.000427	4.99	0.90184	6824.745939	4.39	0.88542	6668.390266	4.64	0.84197	6534.851967	4.6	0.79435	6219.701092	3.67	0.83053	6326.96569	3.9																							
Dominican Republic	0.23415	728.3547528	14.9	0.24458	1039.391922	14.5	0.25249	1256.212785	14.3	0.28608	1327.345383	13.9	0.27171	1143.377877	13.7	0.27188	1275.977905	13.5	0.28134	1299.59881	13.2	0.29372	1373.695257	12.9	0.29398	1392.764865	12.7	0.28108	1358.191386	12.3	0.28926	1442.181777	12.1																							
Ecuador	0.34462	652.1656541	34.2	0.3609	665.5493977	32.9	0.36515	673.7464083	31.7	0.37612	688.6360879	30.5	0.3921	755.4772479	29.5	0.40707	779.7323512	28.4	0.44521	862.5551221	27.4	0.47334	940.235547	26.3	0.57449	1090.935736	25.4	0.53288	1115.445527	24.5	0.56297	1055.048418	23.6																							
Egypt	2.0052	994.051317	44.4	2.22517	1047.65658	41.5	2.25765	1099.100883	38.7	2.43298	1167.927694	36.3	2.58248	1211.956928	33.9	2.68931	1284.418741	31.6	2.53821	1356.055284	29.5	2.70984	1440.261709	27.6	3.1936	1483.683693	25.8	3.20306	1548.593578	24.1	3.30724	1607.929836	22.5																							
El Salvador	0.10082	609.5646604	33.9	0.10523	622.8600709	31.6	0.10397	664.4698027	29.3	0.1135	692.1834201	27.2	0.11117	690.0221471	25.3	0.11716	756.7953329	23.5	0.12156	818.0114634	21.8	0.12288	882.1695536	20.3	0.12097	864.3265138	18.8	0.11837	845.07184	17.6	0.12442	855.1600171	16.3																							
